,year,word,tf,n,idf,tf_idf
572,1930,schack-eyber,0.00022514916131937407,16,2.3978952727983707,0.0005398841096022448
233,1930,1929-30,0.0005206574355510526,37,0.7884573603642703,0.0004105161872886131
225,1930,holst-knudsen,0.0005347292581335134,38,0.6061358035703155,0.00032411854857131584
301,1930,j._perregaard,0.00040808285489136553,29,0.7884573603642703,0.0003217559305775616
726,1930,børnemælk,0.00016886187098953058,12,1.7047480922384253,0.00028786695242121336
471,1930,bankdirektør,0.0002673646290667567,19,1.0116009116784799,0.0002704663025145097
983,1930,koncessionshaverne,0.00012664640324214793,9,1.7047480922384253,0.00021590021431591
1389,1930,gasforsynings-selskab,8.443093549476529e-05,6,2.3978952727983707,0.00020245654110084184
57,1930,1930,0.0020404142744568274,145,0.09531017980432493,0.00019447225137379142
1063,1930,bivogne,0.00011257458065968704,8,1.7047480922384253,0.0001919113016141422
1138,1930,privatbankens,0.00011257458065968704,8,1.7047480922384253,0.0001919113016141422
671,1930,30-,0.00018293369357199146,13,1.0116009116784799,0.00018505589119413823
747,1930,kioskerne,0.00016886187098953058,12,1.0116009116784799,0.00017082082264074298
1758,1930,skibsafgifterne,7.03591129123044e-05,5,2.3978952727983707,0.00016871378425070154
1201,1930,børnemælksforsyningen,9.850275807722617e-05,7,1.7047480922384253,0.00016792238891237446
10061,1931,hjemløse,0.00016505233896538243,19,2.3978952727983707,0.00039577822336940485
9588,1931,j._perregaard,0.00046040915606133,53,0.7884573603642703,0.0003630129878756576
10192,1931,etg,0.00013899144333926941,16,2.3978952727983707,0.0003332869249426567
9579,1931,holst-knudsen,0.00046909612127003433,54,0.6061358035703155,0.00028433595441773043
10117,1931,tarnac,0.0001563653737566781,18,1.7047480922384253,0.00026656357260384535
9722,1931,1930-31,0.0003127307475133562,36,0.7884573603642703,0.00024657485968912593
10749,1931,fornyelsesfondet,7.818268687833906e-05,9,2.3978952727983707,0.00018747389528024443
10848,1931,504,6.949572166963471e-05,8,2.3978952727983707,0.00016664346247132836
10873,1931,bitch,6.949572166963471e-05,8,2.3978952727983707,0.00016664346247132836
10986,1931,svagbørnskolonier,6.949572166963471e-05,8,2.3978952727983707,0.00016664346247132836
10081,1931,50-,0.0001563653737566781,18,1.0116009116784799,0.00015817935464720184
9587,1931,hjælpekassen,0.00046040915606133,53,0.3184537311185346,0.0001466190135888662
9488,1931,leonhard,0.0007297050775311645,84,0.20067069546215124,0.00014643042539044178
11154,1931,raatjære,6.080875646093037e-05,7,2.3978952727983707,0.00014581302966241232
9884,1931,hjælpekassens,0.00022586109542631282,26,0.6061358035703155,0.00013690249657149982
22349,1932,j._perregaard,0.0004970760233918128,51,0.7884573603642703,0.00039192324930387704
22220,1932,hjælpekassen,0.001003898635477583,103,0.3184537311185346,0.00031969526613264196
22356,1932,holst-knudsen,0.0004873294346978557,50,0.6061358035703155,0.0002953878185040524
22869,1932,krisehjælp,0.00016569200779727097,17,1.2992829841302609,0.00021528080633737267
22464,1932,hjælpekassens,0.0003508771929824561,36,0.6061358035703155,0.0002126792293229177
22586,1932,1931-32,0.0002631578947368421,27,0.7884573603642703,0.00020748877904322902
23109,1932,"400.000,00",0.00011695906432748539,12,1.7047480922384253,0.00019938574178227198
22932,1932,25-,0.00014619883040935673,15,1.2992829841302609,0.00018995365265062295
22502,1932,"500,00",0.0003118908382066277,32,0.6061358035703155,0.00018904820384259353
22781,1932,baandlagt,0.00018518518518518518,19,1.0116009116784799,0.00018733350216268145
23493,1932,"100.000,00",7.797270955165692e-05,8,2.3978952727983707,0.0001869703916411985
23228,1932,kvinderne,0.00010721247563352827,11,1.7047480922384253,0.00018277026330041596
22711,1932,vølund,0.00021442495126705653,22,0.7884573603642703,0.00016906493107226068
23090,1932,skolebøger,0.0001267056530214425,13,1.2992829841302609,0.0001646264989638732
23694,1932,forsørgerpligter,6.82261208576998e-05,7,2.3978952727983707,0.00016359909268604867
34937,1933,ebstrup,0.0001362265252505595,14,2.3978952727983707,0.0003266569409280645
34114,1933,1933,0.0016152573708280626,166,0.20067069546215124,0.00032413481995443325
34823,1933,unmack-larsen,0.00016541792351853652,17,1.7047480922384253,0.00028199588954026686
34534,1933,hunde,0.00026272258441179333,27,1.0116009116784799,0.0002657704059094965
35192,1933,schæferhunde,0.00010703512698258247,11,2.3978952727983707,0.00025665902501490785
34698,1933,garnisonssygehuset,0.00019460932178651358,20,1.2992829841302609,0.00025285258035034756
34872,1933,4141,0.0001459569913398852,15,1.7047480922384253,0.00024881990253552966
34490,1933,mole,0.0002919139826797704,30,0.7884573603642703,0.00023016172823711308
34396,1933,skive,0.0003600272453050501,37,0.6061358035703155,0.00021822540364018365
34822,1933,undervisningsplanen,0.00016541792351853652,17,1.2992829841302609,0.0002149246932977954
35399,1933,kriseramte,8.757419480393111e-05,9,2.3978952727983707,0.00020999374773947004
34870,1933,vædsker,0.00015568745742921086,16,1.2992829841302609,0.00020228206428027804
34553,1933,j._perregaard,0.00025299211832246766,26,0.7884573603642703,0.000199473497805498
35092,1933,maskinen,0.00011676559307190815,12,1.7047480922384253,0.0001990559220284237
35462,1933,besejlingen,7.784372871460543e-05,8,2.3978952727983707,0.00018666110910175115
46477,1934,socialudvalget,0.0009329861493965276,110,0.3184537311185346,0.00029711292035723876
46435,1934,1934,0.001382515839560309,163,0.20067069546215124,0.00027743041501200713
47423,1934,arke’s,0.00011026199947413508,13,2.3978952727983707,0.00026439672730832497
47334,1934,munch,0.0001272253840086174,15,1.7047480922384253,0.00021688723067299158
47346,1934,unmack-larsen,0.0001272253840086174,15,1.7047480922384253,0.00021688723067299158
46844,1934,1934-35,0.0002544507680172348,30,0.7884573603642703,0.00020062358089353025
47216,1934,kvt,0.00014418876854309972,17,1.2992829841302609,0.0001873420134707461
47879,1934,lønancienn,7.633523040517044e-05,9,2.3978952727983707,0.00018304388813653266
47283,1934,skoleembedseksamen,0.00013570707627585856,16,1.2992829841302609,0.00017632189503129044
47555,1934,sommerstrøm,0.00010178030720689392,12,1.7047480922384253,0.00017350978453839326
47162,1934,forsikringsmæssige,0.00015267046081034088,18,1.0116009116784799,0.00015444157734211447
47027,1934,p._busch,0.00018659722987930552,22,0.7884573603642703,0.00014712395932192217
47187,1934,1934/35,0.00014418876854309972,17,1.0116009116784799,0.000145861489711997
47708,1934,falk,8.48169226724116e-05,10,1.7047480922384253,0.00014459148711532771
47476,1934,stecher-christensen,0.00011026199947413508,13,1.2992829841302609,0.0001432615397129235
59705,1935,socialudvalget,0.001055303613701834,148,0.3184537311185346,0.0003360653732462217
60680,1935,installationslaan,0.00010695644733464533,15,2.3978952727983707,0.0002564703594590539
60037,1935,p._busch,0.00027808676307007786,39,0.7884573603642703,0.00021925955516247783
59880,1935,unmack,0.000434956219160891,61,0.4519851237430572,0.00019659374054024765
60092,1935,alb._olsen,0.00024243461395852942,34,0.7884573603642703,0.00019114935578267299
59986,1935,kai_blicher,0.00031373891218162633,44,0.6061358035703155,0.00019016838764648671
60475,1935,hal,0.0001354781666238841,19,1.2992829841302609,0.00017602447661557683
61139,1935,juli:,7.130429822309689e-05,10,2.3978952727983707,0.0001709802396393693
60758,1935,norges,9.982601751233565e-05,14,1.7047480922384253,0.00017017821290991382
61294,1935,løsagtige,6.41738684007872e-05,9,2.3978952727983707,0.00015388221567543236
59959,1935,1935-36,0.0003279997718262457,46,0.4519851237430572,0.0001482510174565802
60111,1935,busch,0.00023530418413621974,33,0.6061358035703155,0.00014262629073486503
60126,1935,træerne,0.00023530418413621974,33,0.6061358035703155,0.00014262629073486503
61119,1935,gadehandel,7.130429822309689e-05,10,1.7047480922384253,0.00012155586636422416
61646,1935,faskiner,4.991300875616782e-05,7,2.3978952727983707,0.00011968616774755851
74250,1936,sidesporet,0.00022951767286081027,27,2.3978952727983707,0.0005503593427766199
73792,1936,socialudvalget,0.0012665975280096568,149,0.3184537311185346,0.0004033527086201878
73795,1936,1936,0.0012240942552576549,144,0.3184537311185346,0.00038981738282756407
73935,1936,kai_blicher,0.000535541236675224,63,0.6061358035703155,0.00032461071783717737
74055,1936,1936-37,0.0003400261820160152,40,0.6061358035703155,0.00020610204307122375
75035,1936,1400000,8.50065455040038e-05,10,2.3978952727983707,0.0002038367936209703
75224,1936,lockouten,7.650589095360343e-05,9,2.3978952727983707,0.00018345311425887328
74236,1936,alb._olsen,0.00022951767286081027,27,0.7884573603642703,0.00018096489850078458
74952,1936,"500""00-",9.350720005440419e-05,11,1.7047480922384253,0.00015940622090330234
74075,1936,unmack,0.00033152552746561485,39,0.4519851237430572,0.00014984460655552824
74582,1936,weekend,0.00014451112735680647,17,1.0116009116784799,0.00014618758818183035
75135,1936,utilregnelige,8.50065455040038e-05,10,1.7047480922384253,0.00014491474627572937
75475,1936,bygningskonstruktør,5.9504581852802665e-05,7,2.3978952727983707,0.00014268575553467923
75511,1936,gartneriet,5.9504581852802665e-05,7,2.3978952727983707,0.00014268575553467923
75582,1936,pensb,5.9504581852802665e-05,7,2.3978952727983707,0.00014268575553467923
86849,1937,thomas_christensen,0.0007647917680595147,88,1.0116009116784799,0.0007736640498132016
86832,1937,raadhus,0.0008603907390669541,99,0.7884573603642703,0.0006783814110065942
86799,1937,socialudvalget,0.0011906417298199264,137,0.3184537311185346,0.00037916430128658176
87340,1937,taarnet,0.00019119794201487866,22,1.7047480922384253,0.00032594432688977745
87030,1937,1937-38,0.00036501425293749564,42,0.7884573603642703,0.0002877981743664339
87034,1937,kai_blicher,0.00036501425293749564,42,0.6061358035703155,0.0002212482075188873
87435,1937,taarn,0.00016512549537648613,19,1.2992829841302609,0.0002145447463887485
86915,1937,raadhuset,0.0005735938260446361,66,0.3184537311185346,0.00018266309405047003
87111,1937,1938,0.00028679691302231804,33,0.6061358035703155,0.0001738378773362686
87621,1937,rørene,0.00013036223319196272,15,1.2992829841302609,0.00016937743135953827
87908,1937,kolindsund,9.559897100743933e-05,11,1.7047480922384253,0.00016297216344488872
87512,1937,statsboligfonden,0.00014774386428422444,17,1.0116009116784799,0.00014945782780482304
87954,1937,"125,00",8.690815546130849e-05,10,1.7047480922384253,0.0001481565122226261
88400,1937,287100,6.083570882291594e-05,7,2.3978952727983707,0.00014587765860380828
88141,1937,koncessionshaverne,7.821733991517764e-05,9,1.7047480922384253,0.00013334086100036353
99707,1938,thomas_christensen,0.0012821793718986246,154,1.0116009116784799,0.0012970538215479894
99705,1938,1938,0.0012821793718986246,154,0.6061358035703155,0.0007771748239070552
100389,1938,mw,0.00015819096146801211,19,2.3978952727983707,0.00037932535870357543
99721,1938,socialudvalget,0.0011156625703533487,134,0.3184537311185346,0.0003552869081983185
100076,1938,ringgaarden,0.00025810104239517765,31,1.2992829841302609,0.0003353462925703374
99986,1938,1938-39,0.00032470776301328806,39,1.0116009116784799,0.00032847466909332197
100250,1938,sundhedsplejersken,0.00019149432177706732,23,1.7047480922384253,0.00032644957972394667
100891,1938,pistolstræde,9.158424084990176e-05,11,2.3978952727983707,0.00021960941819680686
100356,1938,sundhedsplejersker,0.00016651680154527592,20,1.2992829841302609,0.00021635244681957253
101009,1938,springborg,8.325840077263796e-05,10,2.3978952727983707,0.00019964492563346076
101012,1938,storindlemmelse,8.325840077263796e-05,10,2.3978952727983707,0.00019964492563346076
100101,1938,1937-38,0.00024144936224065007,29,0.7884573603642703,0.00019037252681389946
100465,1938,børnerige,0.00014153928131348454,17,1.2992829841302609,0.00018389957979663665
100039,1938,kai_blicher,0.0002830785626269691,34,0.6061358035703155,0.0001715840520314278
100345,1938,piloteringen,0.00016651680154527592,20,1.0116009116784799,0.00016844854825298562
113310,1939,thomas_christensen,0.0007657413958133922,92,1.0116009116784799,0.0007746246941147792
113592,1939,ø.,0.000291314661450747,35,1.7047480922384253,0.0004966181133492437
113793,1939,genner,0.00019975862499479796,24,2.3978952727983707,0.0004790002625757285
113249,1939,1939,0.001256814682258937,151,0.3184537311185346,0.00040023732488991403
113999,1939,lomholt,0.00014981896874609847,18,2.3978952727983707,0.00035925019693179637
113279,1939,socialudvalget,0.0009571767447667402,115,0.3184537311185346,0.00030481650571086166
113579,1939,1938-39,0.000291314661450747,35,1.0116009116784799,0.0002946941771088834
113410,1939,1938,0.0004661034583211952,56,0.6061358035703155,0.0002825219942564207
113602,1939,1939-40,0.0002746681093678472,33,1.0116009116784799,0.00027785450984551863
114256,1939,børneafdelingen,0.00010820258853884889,13,2.3978952727983707,0.0002594584755618529
113987,1939,forh,0.00014981896874609847,18,1.7047480922384253,0.0002554036011510396
113836,1939,stadsarchitekten,0.00019143534895334804,23,1.2992829841302609,0.00024872869145612384
114070,1939,økonomidirektøren,0.00014149569270464855,17,1.7047480922384253,0.00024121451219820408
114171,1939,væddeløbsbane,0.0001248491406217487,15,1.7047480922384253,0.000212836334292533
113512,1939,kai_blicher,0.0003495775937408964,42,0.6061358035703155,0.00021189149569231553
126761,1940,thomas_christensen,0.0009570455441085402,34,1.0116009116784799,0.0009681481449380262
126880,1940,1940-41,0.0005066711704104037,18,1.7047480922384253,0.0008637467111493457
126883,1940,flyvepladsen,0.0005066711704104037,18,1.7047480922384253,0.0008637467111493457
126918,1940,eksercerplads,0.0004503743736981366,16,1.7047480922384253,0.000767774854354974
127099,1940,stadsdyrlægen,0.00028148398356133537,10,2.3978952727983707,0.0006749691135501803
127031,1940,landbosparekassen,0.00033778078027360244,12,1.7047480922384253,0.0005758311407662304
127243,1940,regnfrakke,0.0002251871868490683,8,2.3978952727983707,0.0005399752908401443
127389,1940,1940-,0.00016889039013680122,6,2.3978952727983707,0.0004049814681301082
127254,1940,tegnere,0.0002251871868490683,8,1.7047480922384253,0.000383887427177487
126786,1940,krigsministeriet,0.000788155153971739,28,0.4519851237430572,0.00035623440479664475
127587,1940,klippe,0.00014074199178066768,5,2.3978952727983707,0.00033748455677509015
127629,1940,servitutbelægges,0.00014074199178066768,5,2.3978952727983707,0.00033748455677509015
127634,1940,sommerlyst,0.00014074199178066768,5,2.3978952727983707,0.00033748455677509015
127637,1940,stortrøje,0.00014074199178066768,5,2.3978952727983707,0.00033748455677509015
127152,1940,overtrækstøj,0.00025333558520520183,9,1.2992829841302609,0.0003291546151318006
