,Unknown,A,B,C,D,F,I,K,O,V,datetime,Å,Ø
0,5.3,26.5,6.2,3.7,2.9,5.2,5.0,0.7,17.9,13.3,2018-09-30,4.8,8.6
1,,26.3,6.0,3.8,3.1,5.3,5.1,0.6,17.6,18.7,2018-09-23,4.8,8.7
2,,26.3,5.8,3.8,3.2,5.2,5.0,0.6,17.7,18.7,2018-09-18,4.9,9.0
3,,26.2,5.8,3.9,3.2,5.3,4.9,0.7,17.6,18.5,2018-09-16,4.9,9.1
4,,26.1,5.8,4.1,3.2,5.1,4.9,0.8,17.6,18.3,2018-09-14,4.8,9.3
5,,25.6,6.0,4.0,2.7,5.3,5.2,0.8,17.8,18.6,2018-09-08,4.8,9.2
6,,25.7,6.2,4.2,2.6,5.3,4.9,0.8,17.8,18.7,2018-08-30,4.5,9.3
7,,26.1,5.9,4.2,2.8,5.1,4.9,0.8,17.7,18.7,2018-08-28,4.6,9.2
8,,25.9,6.0,4.3,3.0,5.3,4.9,0.7,17.5,18.6,2018-08-26,4.5,9.3
9,,26.0,5.7,4.1,2.6,5.3,4.7,0.7,18.4,19.0,2018-08-22,4.5,8.9
10,,25.9,5.8,4.1,2.6,5.5,4.8,0.8,18.0,19.2,2018-08-19,4.5,8.9
11,,25.8,5.9,4.4,2.7,5.8,4.9,0.8,17.6,18.8,2018-08-15,4.3,9.0
12,,25.8,6.2,3.9,2.2,5.6,4.9,0.8,18.2,19.0,2018-08-15,4.4,9.0
13,,25.8,6.2,3.9,2.2,5.6,4.9,0.8,18.2,19.0,2018-08-15,4.4,9.0
14,,25.6,5.5,4.4,2.7,5.8,4.7,0.8,18.1,19.0,2018-08-13,4.2,9.0
15,,25.4,5.7,4.7,3.4,6.0,4.5,0.8,17.5,18.6,2018-08-12,4.2,9.2
16,,24.9,6.2,3.7,2.5,5.6,4.2,0.8,19.1,19.3,2018-08-05,4.3,9.4
17,,24.9,6.2,3.7,2.5,5.6,4.2,0.8,19.1,19.3,2018-08-05,4.3,9.4
18,,24.9,6.1,3.9,2.7,5.6,4.2,0.8,18.8,19.2,2018-08-05,4.3,9.4
19,,24.5,6.2,4.3,4.3,6.1,3.7,0.7,16.9,18.5,2018-08-02,5.0,9.7
20,,26.2,5.8,4.5,2.3,5.5,4.7,0.7,18.0,19.2,2018-07-08,4.2,8.9
21,,26.6,6.1,4.2,1.5,5.4,4.6,0.7,18.6,19.4,2018-07-01,4.1,8.8
22,,26.9,5.9,4.4,1.6,5.4,4.4,0.7,18.3,19.5,2018-06-25,4.0,9.0
23,,27.0,6.0,4.5,1.6,5.4,4.4,0.7,18.0,19.5,2018-06-23,4.0,9.0
24,,26.5,6.0,4.5,1.5,5.5,4.1,0.9,17.9,20.2,2018-06-16,3.9,9.0
25,,26.5,6.0,4.5,1.5,5.5,4.2,0.9,17.9,20.2,2018-06-16,3.9,9.0
26,,26.2,6.0,4.7,1.6,5.5,4.1,0.9,17.7,20.3,2018-06-15,4.0,9.1
27,,26.2,6.2,4.6,1.5,5.5,4.2,0.9,18.0,20.0,2018-06-11,3.9,9.1
28,,26.4,6.0,4.6,1.4,5.4,4.2,0.8,18.3,19.9,2018-06-10,3.8,9.1
29,,26.2,5.9,4.6,1.4,5.6,4.4,0.9,18.0,19.9,2018-06-03,3.8,9.3
30,,26.2,5.8,4.5,1.6,5.5,4.7,0.9,17.8,19.8,2018-05-31,3.8,9.4
31,,26.4,5.4,4.4,1.5,5.6,4.9,0.9,17.9,19.7,2018-05-27,3.7,9.6
32,,26.6,5.4,4.4,1.7,5.7,5.1,0.9,17.6,19.1,2018-05-23,3.9,9.5
33,,26.5,5.7,4.0,1.5,6.0,5.3,0.8,17.8,19.1,2018-05-19,3.8,9.4
34,,26.9,5.6,4.1,1.6,6.0,5.4,0.7,17.5,18.7,2018-05-14,4.0,9.4
35,,27.2,5.3,4.1,1.4,6.0,5.6,0.7,17.1,19.1,2018-05-13,4.0,9.3
36,,27.3,5.3,4.3,1.6,5.9,5.6,0.8,16.9,18.7,2018-05-06,4.0,9.5
37,,27.0,5.3,4.5,2.0,5.9,5.3,0.8,16.8,18.7,2018-04-29,4.2,9.5
38,,26.9,5.5,4.6,2.3,5.6,5.1,0.8,17.1,18.5,2018-04-25,4.0,9.6
39,,26.3,5.5,4.7,2.1,5.4,5.2,0.7,17.0,19.1,2018-04-15,4.2,9.7
40,,26.3,5.6,4.7,2.2,5.3,5.0,0.8,17.2,19.1,2018-04-12,4.2,9.6
41,,26.2,5.4,4.7,2.0,5.2,4.7,0.8,17.8,19.1,2018-04-08,4.5,9.6
42,,26.8,5.4,4.6,2.3,5.2,4.8,0.8,17.5,18.6,2018-04-05,4.3,9.6
43,,26.7,5.2,4.4,1.6,5.2,4.9,0.8,18.2,19.3,2018-04-01,4.2,9.5
44,,26.5,5.3,4.5,2.2,5.3,4.7,0.8,17.8,19.0,2018-03-31,4.6,9.3
45,,26.8,5.1,4.3,1.7,5.2,4.9,0.7,18.2,19.4,2018-03-25,4.3,9.5
46,,26.8,5.1,4.4,1.8,5.1,4.7,0.6,18.1,19.7,2018-03-20,4.4,9.4
47,,26.8,5.2,4.5,1.6,5.3,4.9,0.7,18.0,19.6,2018-03-20,4.5,9.1
48,,26.9,5.2,4.5,1.6,5.2,4.9,0.7,18.0,19.6,2018-03-20,4.5,9.0
49,,27.5,5.0,4.4,1.4,5.1,5.1,0.7,17.8,19.6,2018-03-18,4.4,9.0
50,,27.5,5.2,4.3,1.4,5.2,5.0,0.7,17.7,19.9,2018-03-11,4.5,8.5
51,,27.7,5.3,4.4,1.5,5.2,4.8,0.7,17.5,19.9,2018-03-08,4.6,8.5
52,,28.4,4.8,4.6,1.4,4.9,5.0,0.7,17.4,19.9,2018-03-04,4.3,8.7
53,,28.8,4.9,4.4,1.7,4.8,5.0,0.7,17.4,19.4,2018-02-25,4.2,8.5
54,,28.8,5.0,4.5,2.0,4.9,4.8,0.8,17.3,19.2,2018-02-19,4.3,8.4
55,,28.9,5.0,4.6,2.1,4.9,4.8,0.8,17.1,19.1,2018-02-14,4.4,8.5
56,,29.0,5.0,4.6,2.1,4.8,4.7,0.8,17.0,19.2,2018-02-10,4.3,8.6
57,,28.9,4.9,4.7,2.2,4.8,4.8,0.7,16.7,19.2,2018-02-08,4.3,8.7
58,,28.8,4.9,4.7,2.3,4.8,4.7,0.7,16.9,19.2,2018-02-05,4.4,8.6
59,,29.0,5.0,4.4,2.0,4.8,4.7,0.7,17.2,19.3,2018-02-04,4.4,8.5
60,,28.7,5.0,4.5,2.1,4.9,4.9,0.7,17.0,19.3,2018-02-01,4.3,8.7
61,,28.8,5.0,4.5,2.2,4.9,4.8,0.7,17.1,19.2,2018-01-29,4.3,8.6
62,,28.3,5.0,4.6,2.1,4.9,4.8,0.6,17.1,19.5,2018-01-28,4.4,8.5
63,,28.1,5.0,4.8,2.3,5.0,4.8,0.6,17.1,19.3,2018-01-25,4.4,8.7
64,,28.1,4.8,4.9,2.3,4.7,4.7,0.7,17.0,19.7,2018-01-22,4.5,8.6
65,,28.5,4.8,4.6,1.7,4.8,4.7,0.7,16.8,20.2,2018-01-21,4.5,8.8
66,,28.5,4.8,4.9,1.8,4.7,4.7,0.6,16.9,19.8,2018-01-14,4.6,8.7
67,,28.2,4.8,5.3,2.2,4.8,4.3,0.6,16.8,19.7,2018-01-11,4.8,8.4
68,,28.2,5.0,5.0,2.6,4.9,4.8,0.6,17.1,18.9,2018-01-07,4.6,8.4
